datetime,americano,americano with milk,cappuccino,cocoa,cortado,espresso,hot chocolate,latte
8/8/2024 12:44,0,0,0,0,1,0,0,0
8/8/2024 16:57,0,0,1,0,0,0,0,0
8/8/2024 17:17,0,0,1,0,0,0,0,0
8/8/2024 21:25,0,1,0,0,0,0,0,0
8/9/2024 7:35,0,0,0,0,0,0,0,1
8/9/2024 9:53,1,0,0,0,0,0,0,0
8/9/2024 10:13,0,0,0,0,1,0,0,0
8/9/2024 10:26,0,1,0,0,0,0,0,0
8/9/2024 11:28,0,0,0,0,0,0,0,1
8/9/2024 11:29,1,0,0,0,0,0,0,0
8/9/2024 18:56,1,0,0,0,0,0,0,0
8/9/2024 19:03,0,0,0,0,0,0,1,0
8/10/2024 8:36,0,0,1,0,0,0,0,0
8/10/2024 8:37,0,1,0,0,0,0,0,0
8/10/2024 8:45,0,0,0,0,1,0,0,0
8/10/2024 11:52,0,0,0,0,1,0,0,0
8/10/2024 11:54,1,0,0,0,0,0,0,0
8/10/2024 12:15,0,0,0,0,0,0,0,1
8/10/2024 12:33,0,1,0,0,0,0,0,0
8/10/2024 16:06,0,0,0,0,0,0,0,1
8/10/2024 21:16,0,0,0,1,0,0,0,0
8/10/2024 21:17,0,0,0,1,0,0,0,0
8/10/2024 21:37,0,0,0,1,0,0,0,0
8/11/2024 9:52,0,0,0,0,0,0,0,1
8/11/2024 9:53,0,0,0,0,0,0,0,1
8/11/2024 10:17,0,1,0,0,0,0,0,0
8/11/2024 11:56,0,0,1,0,0,0,0,0
8/11/2024 11:57,0,1,0,0,0,0,0,0
8/11/2024 12:20,0,0,0,0,1,0,0,0
8/11/2024 15:53,0,0,0,0,0,0,0,1
8/11/2024 15:55,0,1,0,0,0,0,0,0
8/11/2024 15:56,0,0,0,1,0,0,0,0
8/11/2024 16:27,0,0,1,0,0,0,0,0
8/11/2024 16:28,0,0,0,0,0,1,0,0
8/11/2024 21:30,0,0,0,0,1,0,0,0
8/11/2024 21:41,0,0,0,0,0,0,0,1
8/11/2024 21:43,0,0,0,0,0,0,0,1
8/11/2024 22:39,0,0,1,0,0,0,0,0
8/12/2024 8:26,0,0,0,0,0,0,1,0
8/12/2024 11:15,0,1,0,0,0,0,0,0
8/12/2024 11:19,1,0,0,0,0,0,0,0
8/12/2024 11:20,0,0,0,0,0,0,0,1
8/12/2024 11:44,0,0,0,0,0,0,0,1
8/12/2024 14:04,0,0,0,0,0,1,0,0
8/12/2024 14:05,0,1,0,0,0,0,0,0
8/12/2024 15:33,0,1,0,0,0,0,0,0
8/12/2024 18:05,0,1,0,0,0,0,0,0
8/12/2024 21:25,0,1,0,0,0,0,0,0
8/12/2024 21:37,0,0,0,0,0,0,0,1
8/12/2024 22:58,0,0,1,0,0,0,0,0
8/12/2024 22:59,0,0,1,0,0,0,0,0
8/13/2024 8:44,0,1,0,0,0,0,0,0
8/13/2024 9:14,0,1,0,0,0,0,0,0
8/13/2024 9:45,0,1,0,0,0,0,0,0
8/13/2024 10:42,0,0,0,0,1,0,0,0
8/13/2024 11:59,0,0,0,0,0,0,0,1
8/13/2024 13:01,0,1,0,0,0,0,0,0
8/13/2024 14:45,0,0,0,0,0,0,0,1
8/13/2024 15:47,0,0,1,0,0,0,0,0
8/13/2024 15:55,0,1,0,0,0,0,0,0
8/13/2024 20:29,0,0,0,0,0,0,0,1
8/13/2024 20:30,0,0,0,1,0,0,0,0
8/13/2024 20:44,0,0,1,0,0,0,0,0
8/13/2024 21:00,0,0,0,0,1,0,0,0
8/14/2024 7:35,0,0,0,0,0,0,0,1
8/14/2024 7:36,0,0,1,0,0,0,0,0
8/14/2024 10:09,0,0,0,0,1,0,0,0
8/14/2024 11:39,0,0,0,0,0,1,0,0
8/14/2024 12:49,1,0,0,0,0,0,0,0
8/14/2024 12:51,1,0,0,0,0,0,0,0
8/14/2024 15:21,0,0,0,0,0,0,0,1
8/14/2024 17:24,1,0,0,0,0,0,0,0
8/14/2024 18:10,0,0,0,0,1,0,0,0
8/14/2024 18:59,0,1,0,0,0,0,0,0
8/14/2024 19:34,0,0,0,0,0,0,0,1
8/14/2024 19:35,0,0,0,0,1,0,0,0
8/14/2024 21:41,0,0,0,0,0,0,0,1
8/15/2024 9:36,0,0,0,0,1,0,0,0
8/15/2024 9:37,0,0,1,0,0,0,0,0
8/15/2024 9:38,0,0,0,0,0,0,1,0
8/15/2024 9:38,0,0,0,0,0,0,0,1
8/15/2024 12:38,0,0,0,0,0,0,0,1
8/15/2024 13:48,0,0,0,0,0,0,0,1
8/15/2024 14:17,1,0,0,0,0,0,0,0
8/15/2024 14:18,0,0,0,0,0,1,0,0
8/15/2024 17:53,0,1,0,0,0,0,0,0
8/15/2024 19:10,0,0,0,0,0,0,1,0
8/15/2024 19:11,0,1,0,0,0,0,0,0
8/15/2024 19:41,0,1,0,0,0,0,0,0
8/15/2024 19:42,1,0,0,0,0,0,0,0
8/15/2024 20:40,0,0,1,0,0,0,0,0
8/15/2024 21:35,0,0,0,0,0,1,0,0
8/15/2024 21:36,0,1,0,0,0,0,0,0
8/16/2024 12:29,0,0,0,0,0,0,0,1
8/16/2024 12:54,1,0,0,0,0,0,0,0
8/16/2024 13:36,0,1,0,0,0,0,0,0
8/16/2024 15:18,0,0,0,0,0,1,0,0
8/16/2024 15:19,0,0,0,0,0,1,0,0
8/17/2024 9:16,0,1,0,0,0,0,0,0
8/17/2024 9:18,0,0,1,0,0,0,0,0
8/17/2024 10:53,0,1,0,0,0,0,0,0
8/17/2024 11:58,0,0,0,0,1,0,0,0
8/17/2024 11:59,0,0,0,0,1,0,0,0
8/17/2024 13:18,0,1,0,0,0,0,0,0
8/17/2024 16:31,0,0,0,0,1,0,0,0
8/17/2024 16:33,0,0,0,0,0,0,0,1
8/17/2024 18:48,0,0,1,0,0,0,0,0
8/17/2024 21:18,0,1,0,0,0,0,0,0
8/17/2024 22:42,0,0,0,0,0,0,0,1
8/18/2024 8:09,0,0,1,0,0,0,0,0
8/18/2024 8:32,0,0,1,0,0,0,0,0
8/18/2024 8:41,0,0,0,0,1,0,0,0
8/18/2024 8:56,0,1,0,0,0,0,0,0
8/18/2024 12:31,0,0,1,0,0,0,0,0
8/18/2024 14:30,0,1,0,0,0,0,0,0
8/18/2024 18:24,0,1,0,0,0,0,0,0
8/18/2024 18:26,0,1,0,0,0,0,0,0
8/18/2024 18:27,1,0,0,0,0,0,0,0
8/18/2024 18:28,1,0,0,0,0,0,0,0
8/19/2024 15:09,0,1,0,0,0,0,0,0
8/19/2024 15:10,0,1,0,0,0,0,0,0
8/19/2024 21:21,0,0,0,0,0,0,0,1
8/19/2024 21:31,0,0,0,1,0,0,0,0
8/20/2024 8:27,0,0,0,0,1,0,0,0
8/20/2024 8:29,0,0,0,0,0,0,0,1
8/20/2024 8:49,0,0,0,0,0,1,0,0
8/20/2024 8:50,0,0,0,0,1,0,0,0
8/20/2024 9:14,0,1,0,0,0,0,0,0
8/20/2024 11:09,1,0,0,0,0,0,0,0
8/20/2024 11:11,1,0,0,0,0,0,0,0
8/20/2024 11:12,1,0,0,0,0,0,0,0
8/20/2024 11:42,0,0,0,0,0,0,0,1
8/20/2024 20:42,0,0,0,0,0,0,0,1
8/20/2024 20:44,0,0,0,0,0,0,0,1
8/20/2024 20:45,0,0,0,0,0,0,0,1
8/20/2024 20:46,0,0,0,0,0,0,0,1
8/21/2024 7:59,0,1,0,0,0,0,0,0
8/21/2024 8:40,0,0,0,0,1,0,0,0
8/21/2024 10:13,1,0,0,0,0,0,0,0
8/21/2024 10:38,0,1,0,0,0,0,0,0
8/21/2024 11:51,0,0,0,0,1,0,0,0
8/21/2024 13:17,0,0,0,0,0,0,0,1
8/21/2024 19:42,0,0,0,0,0,0,0,1
8/22/2024 9:22,0,0,0,0,1,0,0,0
8/22/2024 10:09,0,1,0,0,0,0,0,0
8/22/2024 10:47,0,1,0,0,0,0,0,0
8/22/2024 14:16,0,0,0,0,0,0,0,1
8/22/2024 14:26,0,0,0,0,0,0,0,1
8/22/2024 15:07,0,0,1,0,0,0,0,0
8/22/2024 15:27,1,0,0,0,0,0,0,0
8/23/2024 7:43,0,0,0,0,0,0,0,1
8/23/2024 8:21,0,0,0,0,1,0,0,0
8/23/2024 8:22,0,0,0,0,0,0,0,1
8/23/2024 8:33,1,0,0,0,0,0,0,0
8/23/2024 8:34,1,0,0,0,0,0,0,0
8/23/2024 9:14,0,1,0,0,0,0,0,0
8/23/2024 10:10,0,0,0,1,0,0,0,0
8/23/2024 10:11,1,0,0,0,0,0,0,0
8/23/2024 10:39,0,0,0,0,1,0,0,0
8/23/2024 11:12,0,0,0,0,0,0,1,0
8/23/2024 13:24,1,0,0,0,0,0,0,0
8/23/2024 15:28,1,0,0,0,0,0,0,0
8/23/2024 19:48,0,0,0,0,0,0,0,1
8/24/2024 8:13,0,0,0,0,1,0,0,0
8/24/2024 8:14,0,0,0,0,1,0,0,0
8/24/2024 8:44,0,0,0,0,1,0,0,0
8/24/2024 10:18,0,0,0,0,0,1,0,0
8/24/2024 10:18,0,0,0,0,0,1,0,0
8/24/2024 10:19,1,0,0,0,0,0,0,0
8/25/2024 8:14,0,0,0,0,1,0,0,0
8/25/2024 8:26,1,0,0,0,0,0,0,0
8/25/2024 8:27,1,0,0,0,0,0,0,0
8/25/2024 9:24,0,0,1,0,0,0,0,0
8/25/2024 12:41,0,0,1,0,0,0,0,0
8/25/2024 14:53,0,0,0,0,0,0,0,1
8/26/2024 8:11,0,0,0,0,1,0,0,0
8/26/2024 8:16,1,0,0,0,0,0,0,0
8/26/2024 8:17,1,0,0,0,0,0,0,0
8/26/2024 9:21,0,1,0,0,0,0,0,0
8/26/2024 10:37,0,0,0,0,0,0,0,1
8/26/2024 10:38,0,0,1,0,0,0,0,0
8/26/2024 12:45,1,0,0,0,0,0,0,0
8/26/2024 12:46,1,0,0,0,0,0,0,0
8/26/2024 18:53,0,1,0,0,0,0,0,0
8/26/2024 18:54,0,0,0,0,0,0,0,1
8/26/2024 22:55,0,1,0,0,0,0,0,0
8/27/2024 10:04,0,0,0,0,0,0,0,1
8/28/2024 12:08,0,1,0,0,0,0,0,0
8/28/2024 12:10,0,0,1,0,0,0,0,0
8/28/2024 12:35,1,0,0,0,0,0,0,0
8/28/2024 13:48,0,1,0,0,0,0,0,0
8/29/2024 7:29,1,0,0,0,0,0,0,0
8/30/2024 17:13,0,0,0,0,0,0,0,1
8/30/2024 17:14,0,1,0,0,0,0,0,0
8/30/2024 17:15,0,1,0,0,0,0,0,0
8/31/2024 9:08,0,0,0,0,1,0,0,0
8/31/2024 10:02,0,1,0,0,0,0,0,0
8/31/2024 10:22,0,0,0,0,0,1,0,0
8/31/2024 11:29,0,1,0,0,0,0,0,0
8/31/2024 11:33,0,0,0,0,1,0,0,0
8/31/2024 11:34,0,0,0,0,1,0,0,0
9/1/2024 9:34,0,0,0,0,1,0,0,0
9/1/2024 12:11,0,0,1,0,0,0,0,0
9/1/2024 12:30,0,1,0,0,0,0,0,0
9/1/2024 12:32,1,0,0,0,0,0,0,0
9/1/2024 12:50,0,1,0,0,0,0,0,0
9/1/2024 13:57,0,0,0,0,0,0,0,1
9/1/2024 14:44,0,1,0,0,0,0,0,0
9/1/2024 17:20,0,0,0,0,0,0,0,1
9/1/2024 17:23,0,0,0,0,0,0,0,1
9/1/2024 17:24,0,0,0,0,0,0,0,1
9/2/2024 8:24,0,0,0,0,0,0,0,1
9/2/2024 8:50,0,1,0,0,0,0,0,0
9/2/2024 8:51,0,0,0,0,0,0,0,1
9/2/2024 14:58,0,1,0,0,0,0,0,0
9/2/2024 20:09,0,0,1,0,0,0,0,0
9/2/2024 20:11,0,0,0,1,0,0,0,0
9/2/2024 20:52,1,0,0,0,0,0,0,0
9/2/2024 20:53,1,0,0,0,0,0,0,0
9/3/2024 8:22,0,0,0,1,0,0,0,0
9/3/2024 8:28,0,0,1,0,0,0,0,0
9/3/2024 8:41,0,0,0,0,0,0,0,1
9/3/2024 9:03,0,1,0,0,0,0,0,0
9/3/2024 9:04,0,0,1,0,0,0,0,0
9/3/2024 9:12,0,0,0,1,0,0,0,0
9/3/2024 9:13,0,0,0,1,0,0,0,0
9/3/2024 9:17,0,1,0,0,0,0,0,0
9/3/2024 9:20,0,1,0,0,0,0,0,0
9/3/2024 9:37,0,0,0,0,0,0,0,1
9/3/2024 9:38,0,0,0,1,0,0,0,0
9/3/2024 12:56,0,0,0,0,1,0,0,0
9/3/2024 14:14,0,1,0,0,0,0,0,0
9/3/2024 14:16,0,1,0,0,0,0,0,0
9/3/2024 18:48,0,1,0,0,0,0,0,0
9/3/2024 19:11,0,0,0,0,0,0,0,1
9/3/2024 19:17,0,1,0,0,0,0,0,0
9/4/2024 11:11,0,1,0,0,0,0,0,0
9/4/2024 11:33,0,0,0,0,0,0,0,1
9/4/2024 11:48,1,0,0,0,0,0,0,0
